#ice-age (yr b1950)	R
19622.2	0.709818966
19664.8	0.709818966
19707.4	0.737740485
19748.43333	0.737740485
19789.46667	0.737740485
19830.5	0.694363712
19874.1	0.694363712
19917.7	0.694363712
19961.3	0.684361539
20005.6	0.684361539
20049.9	0.684361539
20094.2	0.700006338
20137.53333	0.700006338
20180.86667	0.700006338
20224.2	0.743990628
20265	0.743990628
20305.8	0.743990628
20346.6	0.69976333
20390.03333	0.69976333
20433.46667	0.69976333
20476.9	0.74370874
20517.8	0.74370874
20558.7	0.74370874
20599.6	0.727305759
20641.43333	0.727305759
20683.26667	0.727305759
20725.1	0.705328194
20768.3	0.705328194
20811.5	0.705328194
20854.7	0.754483676
20895.1	0.754483676
20935.5	0.754483676
20975.9	0.721352084
21018.23333	0.721352084
21060.56667	0.721352084
21102.9	0.742187515
21144.03333	0.742187515
21185.16667	0.742187515
21226.3	0.714674248
21269.06667	0.714674248
21311.83333	0.714674248
21354.6	0.734673735
21396.23333	0.734673735
21437.86667	0.734673735
21479.5	0.702771759
21523.06667	0.702771759
21566.63333	0.702771759
21610.2	0.751373185
21651	0.751373185
21691.8	0.751373185
21732.6	0.702169101
21776.26667	0.702169101
21819.93333	0.702169101
21863.6	0.676478387
21908.96667	0.676478387
21954.33333	0.676478387
21999.7	0.724073764
22042.13333	0.724073764
22084.56667	0.724073764
22127	0.680541467
22172.16667	0.680541467
22217.33333	0.680541467
22262.5	0.655647816
22309.43333	0.655647816
22356.36667	0.655647816
22403.3	0.672186881
22449.1	0.672186881
22494.9	0.672186881
22540.7	0.696516755
22584.96667	0.696516755
22629.23333	0.696516755
22673.5	0.69360067
22717.96667	0.69360067
22762.43333	0.69360067
22806.9	0.665708311
22853.26667	0.665708311
22899.63333	0.665708311
22946	0.661523729
22992.7	0.661523729
23039.4	0.661523729
23086.1	0.664041282
23132.66667	0.664041282
23179.23333	0.664041282
23225.8	0.707136167
23269.56667	0.707136167
23313.33333	0.707136167
23357.1	0.675710485
23402.9	0.675710485
23448.7	0.675710485
23494.5	0.640489031
23542.9	0.640489031
23591.3	0.640489031
23639.7	0.667793313
23686.13333	0.667793313
23732.56667	0.667793313
23779	0.664843206
23825.7	0.664843206
23872.4	0.664843206
23919.1	0.613106988
23969.76667	0.613106988
24020.43333	0.613106988
24071.1	0.598541141
24123.03333	0.598541141
24174.96667	0.598541141
24226.9	0.587012882
24279.9	0.587012882
24332.9	0.587012882
24385.9	0.61421024
24436.56667	0.61421024
24487.23333	0.61421024
24537.9	0.576728821
24591.93333	0.576728821
24645.96667	0.576728821
24700	0.619118984
24750.4	0.619118984
24800.8	0.619118984
24851.2	0.552447548
24907.7	0.552447548
24964.2	0.552447548
25020.7	0.563970946
25076.06667	0.563970946
25131.43333	0.563970946
25186.8	0.56136591
25242.5	0.56136591
25298.2	0.56136591
25353.9	0.56818955
25408.93333	0.56818955
25463.96667	0.56818955
25519	0.530163795
25578.1	0.530163795
25637.2	0.530163795
25696.3	0.549701568
25753.3	0.549701568
25810.3	0.549701568
