#depth (m)	ice-age (yr b1950)	origin	thinning
255.75	8.06551	NaN	NaN
256.3	8.087903333	NaN	NaN
256.85	8.110296667	NaN	NaN
257.4	8.13269	NaN	NaN
257.95	8.15398	NaN	NaN
258.5	8.17527	NaN	NaN
259.05	8.19656	NaN	NaN
259.6	8.219493333	NaN	NaN
260.15	8.242426667	NaN	NaN
260.7	8.26536	NaN	NaN
261.25	8.286946667	NaN	NaN
261.8	8.308533333	NaN	NaN
262.35	8.33012	NaN	NaN
262.9	8.351616667	NaN	NaN
263.45	8.373113333	NaN	NaN
264	8.39461	NaN	NaN
264.55	8.41675	NaN	NaN
265.1	8.43889	NaN	NaN
265.65	8.46103	NaN	NaN
266.2	8.482393333	NaN	NaN
266.75	8.503756667	NaN	NaN
267.3	8.52512	NaN	NaN
267.85	8.545816667	NaN	NaN
268.4	8.566513333	NaN	NaN
268.95	8.58721	NaN	NaN
269.5	8.60779	NaN	NaN
270.05	8.62837	NaN	NaN
270.6	8.64895	NaN	NaN
271.15	8.669003333	NaN	NaN
271.7	8.689056667	NaN	NaN
272.25	8.70911	NaN	NaN
272.8	8.729796667	NaN	NaN
273.35	8.750483333	NaN	NaN
273.9	8.77117	NaN	NaN
274.45	8.79195	NaN	NaN
275	8.81273	NaN	NaN
275.55	8.83351	NaN	NaN
276.1	8.8549	NaN	NaN
276.65	8.87629	NaN	NaN
277.2	8.89768	NaN	NaN
277.75	8.917553333	NaN	NaN
278.3	8.937426667	NaN	NaN
278.85	8.9573	NaN	NaN
279.4	8.977233333	NaN	NaN
279.95	8.997166667	NaN	NaN
280.5	9.0171	NaN	NaN
281.05	9.036973333	NaN	NaN
281.6	9.056846667	NaN	NaN
282.15	9.07672	NaN	NaN
282.7	9.09668	NaN	NaN
283.25	9.11664	NaN	NaN
283.8	9.1366	NaN	NaN
284.35	9.157006667	NaN	NaN
284.9	9.177413333	NaN	NaN
285.45	9.19782	NaN	NaN
286	9.218753333	NaN	NaN
286.55	9.239686667	NaN	NaN
287.1	9.26062	NaN	NaN
287.65	9.279503333	NaN	NaN
288.2	9.298386667	NaN	NaN
288.75	9.31727	NaN	NaN
289.3	9.337266667	NaN	NaN
289.85	9.357263333	NaN	NaN
290.4	9.37726	NaN	NaN
290.95	9.396656667	NaN	NaN
291.5	9.416053333	NaN	NaN
292.05	9.43545	NaN	NaN
292.6	9.454416667	NaN	NaN
293.15	9.473383333	NaN	NaN
293.7	9.49235	NaN	NaN
294.25	9.510533333	NaN	NaN
294.8	9.528716667	NaN	NaN
295.35	9.5469	NaN	NaN
295.9	9.56705	NaN	NaN
296.45	9.5872	NaN	NaN
297	9.60735	NaN	NaN
297.55	9.62644	NaN	NaN
298.1	9.64553	NaN	NaN
298.65	9.66462	NaN	NaN
299.2	9.683583333	NaN	NaN
299.75	9.702546667	NaN	NaN
300.3	9.72151	NaN	NaN
300.85	9.73994	NaN	NaN
